input_file,si,ti,n
giftmord.mkv,21.047,1.856,1
giftmord.mkv,21.026,1.858,2
giftmord.mkv,21.03,1.888,3
giftmord.mkv,21.036,2.002,4
giftmord.mkv,21.02,2.062,5
giftmord.mkv,21.062,2.115,6
giftmord.mkv,21.079,2.235,7
giftmord.mkv,21.068,2.391,8
giftmord.mkv,21.1,2.49,9
giftmord.mkv,21.112,2.68,10
giftmord.mkv,21.12,3.079,11
giftmord.mkv,21.143,3.316,12
giftmord.mkv,21.144,3.475,13
giftmord.mkv,21.128,3.623,14
giftmord.mkv,21.144,3.595,15
giftmord.mkv,21.136,3.492,16
giftmord.mkv,21.129,3.383,17
giftmord.mkv,21.159,3.295,18
giftmord.mkv,21.174,3.196,19
giftmord.mkv,21.175,3.259,20
giftmord.mkv,21.212,3.317,21
giftmord.mkv,21.23,3.376,22
giftmord.mkv,21.25,3.427,23
giftmord.mkv,21.245,3.54,24
giftmord.mkv,21.263,3.645,25
giftmord.mkv,21.236,3.823,26
giftmord.mkv,21.28,4.006,27
giftmord.mkv,21.263,4.082,28
giftmord.mkv,21.28,4.213,29
giftmord.mkv,21.295,4.278,30
giftmord.mkv,21.311,4.336,31
giftmord.mkv,21.3,4.346,32
giftmord.mkv,21.337,4.351,33
giftmord.mkv,21.318,4.42,34
giftmord.mkv,21.33,4.45,35
giftmord.mkv,21.332,4.479,36
giftmord.mkv,21.345,4.62,37
giftmord.mkv,21.364,4.775,38
giftmord.mkv,21.412,5.034,39
giftmord.mkv,21.425,5.394,40
giftmord.mkv,21.418,5.533,41
giftmord.mkv,21.461,5.995,42
giftmord.mkv,21.446,6.307,43
giftmord.mkv,21.399,6.316,44
giftmord.mkv,21.374,6.269,45
giftmord.mkv,21.355,5.95,46
giftmord.mkv,21.35,5.827,47
giftmord.mkv,21.383,5.862,48
giftmord.mkv,21.338,5.939,49
giftmord.mkv,21.301,5.92,50
giftmord.mkv,21.329,5.952,51
giftmord.mkv,21.3,5.841,52
giftmord.mkv,21.271,5.506,53
giftmord.mkv,21.241,5.194,54
giftmord.mkv,21.253,5.101,55
giftmord.mkv,21.252,5.024,56
giftmord.mkv,21.26,5.064,57
giftmord.mkv,21.228,5.169,58
